#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="locationtreeLikelihood.location" reciprocalRates="true" scaleByTime="true" spec="beast.continuous.SampledMultivariateTraitLikelihood" useTreeLength="true">
#            <parameter dimension="22" id="location.location" minordimension="2" name="traitParameter">0.0</parameter>
#            <data id="location" spec="beast.evolution.alignment.AlignmentFromTraitMap">
#                <traitMap id="ttm" parameter="@location.location" randomizelower="-90 -180" randomizeupper="90 180" spec="beast.app.seqgen.SimulatedTreeTraitMap" traitName="location" value="">
#                    <tree estimate="false" id="tree" spec="beast.evolution.tree.RandomTree">
#                        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                            <parameter id="randomPopSize" name="popSize">100.0</parameter>
#                        </populationModel>
#                        <taxonset spec="beast.evolution.alignment.TaxonSet">
#                            <taxon id="t0" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                        </taxonset>
#                    </tree>
#                </traitMap>
#                <userDataType id="LocationDataType.0" spec="beast.evolution.datatype.LocationDataType"/>
#            </data>
#            <tree idref="tree"/>
#            <siteModel id="geoContSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="diffusionModel.s:location" spec="beast.continuous.MultivariateDiffusionModel">
#                    <parameter dimension="4" id="precisionMatrix.s:location" minordimension="2" name="precisionMatrix">0.365 -1.78E-4 -1.78E-4 0.0516</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:location" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@tree">
#                <distr id="Exponential.c:location" spec="beast.math.distributions.Exponential">
#                    <parameter id="UCExpLambda.c:location" name="mean">1.0</parameter>
#                </distr>
#                <rateCategories dimension="10" id="expRateCategories.c:location" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="ucedMean.c:location" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	locationtreeLikelihood.joint	locationtreeLikelihood.data	precisionMatrix.1	precisionMatrix.2	precisionMatrix.3	precisionMatrix.4	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	ucedMean	
0	-154583.18584296783	-154583.18584296783	-154583.18584296783	-138509.5317035648	0.365	-1.78E-4	-1.78E-4	0.0516	0.7298874800048571	0.2690169172782116	0.8100400927927025	0.7298874800048571	0.2690169172782116	0.8100400927927025	1.0	
20000	-95.18353271850002	-95.18353271850002	-95.18353271850002	-53.41107132332842	0.007093707272667947	0.008751774709044535	0.008751774709044535	0.012815735700625873	0.024127227657637505	9.403260615049651E-4	0.9253622399798788	0.024127227657637505	9.403260615049651E-4	0.9253622399798788	0.03358471846509831	
40000	-101.42698672878421	-101.42698672878421	-101.42698672878421	-55.23670821515324	1.2662256572108912	0.28369626826743305	0.28369626826743305	0.5733956517016405	2.760882157179494E-4	1.066213864635508E-7	1.2676242090392003	2.760882157179494E-4	1.066213864635508E-7	1.2676242090392003	3.6959034522363277E-4	
60000	-105.09743271011283	-105.09743271011283	-105.09743271011283	-63.43887840450418	0.7103098037476988	0.07154316417657938	0.07154316417657938	0.909498081318257	3.103480558505129E-5	1.0392788524289261E-9	0.7817135798646163	3.103480558505129E-5	1.0392788524289261E-9	0.7817135798646163	4.058156535829839E-5	
80000	-94.43736607156679	-94.43736607156679	-94.43736607156679	-56.495518662093396	0.9726281800555852	0.3750297172386041	0.3750297172386041	0.6847305775500694	2.0645240163852803E-4	3.712904090201789E-8	1.0264869372276706	2.0645240163852803E-4	3.712904090201789E-8	1.0264869372276706	2.045149642645744E-4	
100000	-98.08537629506624	-98.08537629506624	-98.08537629506624	-53.8037247956414	0.8238611670751792	1.070109572806992	1.070109572806992	1.5976076256584155	2.2739944778435667E-4	2.3634498027703392E-8	1.0587193250429752	2.2739944778435667E-4	2.3634498027703392E-8	1.0587193250429752	1.7800326823170875E-4	
120000	-94.90756745016823	-94.90756745016823	-94.90756745016823	-50.26020012332908	0.7404271600918233	0.9533025424420241	0.9533025424420241	1.3291000098953758	4.336941151741425E-4	2.8332511902997524E-7	0.919116524680517	4.336941151741425E-4	2.8332511902997524E-7	0.919116524680517	4.217522826006798E-4	
140000	-98.31054145469753	-98.31054145469753	-98.31054145469753	-56.44826170527089	0.32307220358412875	0.2701032367572524	0.2701032367572524	0.29314216202990095	6.282417073751618E-4	5.239829283015716E-7	1.0131158024164375	6.282417073751618E-4	5.239829283015716E-7	1.0131158024164375	0.001066970970378706	
160000	-92.17479896526595	-92.17479896526595	-92.17479896526595	-50.606195064482975	0.6029177160996132	0.5476291589063362	0.5476291589063362	0.7113875529925484	8.936186824481851E-4	5.971808745541726E-7	1.0738556335890557	8.936186824481851E-4	5.971808745541726E-7	1.0738556335890557	6.796607546711876E-4	
180000	-99.45500148252542	-99.45500148252542	-99.45500148252542	-58.66327375740509	0.3462241851415736	0.07898640469941551	0.07898640469941551	0.10171883217738248	0.0011604244898913306	1.2386790682301897E-6	0.926849116339017	0.0011604244898913306	1.2386790682301897E-6	0.926849116339017	0.0012846294431125543	
