#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="rootPrior.location" spec="beast.math.distributions.MultivariateNormalDistribution">
#            <parameter dimension="2" id="RealParameter.02" name="mean">2.8 4.5</parameter>
#            <parameter dimension="4" id="RealParameter.03" minordimension="2" name="precision">0.001 0.0 0.0 0.001</parameter>
#            <arg id="rootTrait.location" spec="beast.evolution.tree.RootTrait">
#                <traitmap id="ttm" randomizelower="-90 -180" randomizeupper="90 180" spec="beast.app.seqgen.SimulatedTreeTraitMapPhyml" traitName="location">
#                    <tree IsLabelledNewick="true" id="tree" newick="(yilag:0.01000000,((fmimu:0.00022469,aiwdh:0.00022469):0.00065035,(eodys:0.00054818,lirbr:0.00054818):0.00032686):0.00912496)" spec="beast.util.TreeParser">
#                        <taxonset spec="beast.evolution.alignment.TaxonSet">
#                            <taxon id="yilag" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="fmimu" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="aiwdh" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="eodys" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="lirbr" spec="beast.evolution.alignment.Taxon"/>
#                        </taxonset>
#                    </tree>
#                    <parameter dimension="18" id="location.location" minordimension="2">0.0</parameter>
#                    lirbr=3.375182 6.679017, 
#eodys=3.743403 5.378317, 
#yilag=6.616761 7.899907, 
#fmimu=7.001854 0.152245, 
#aiwdh=8.774219 8.292177
#                </traitmap>
#            </arg>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="locationtreeLikelihood.location" reciprocalRates="true" scaleByTime="true" spec="beast.continuous.SampledMultivariateTraitLikelihood" traitParameter="@location.location" tree="@tree" useTreeLength="true">
#            <data id="location" spec="beast.evolution.alignment.AlignmentFromTraitMap" traitMap="@ttm">
#                <userDataType id="LocationDataType.0" spec="beast.evolution.datatype.LocationDataType"/>
#            </data>
#            <siteModel id="geoContSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="diffusionModel.s:location" spec="beast.continuous.MultivariateDiffusionModel">
#                    <parameter dimension="4" id="precisionMatrix.s:location" minordimension="2" name="precisionMatrix">0.25 0.0 0.0 0.25</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:location" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@tree">
#                <distr id="Exponential.c:location" spec="beast.math.distributions.Exponential">
#                    <parameter id="UCExpLambda.c:location" name="mean">1.0</parameter>
#                </distr>
#                <rateCategories dimension="8" id="expRateCategories.c:location" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="ucedMean.c:location" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	location.1	location.2	location.3	location.4	location.5	location.6	location.7	location.8	location.9	location.10	location.11	location.12	location.13	location.14	location.15	location.16	location.17	location.18	locationtreeLikelihood.joint	locationtreeLikelihood.data	precisionMatrix.1	precisionMatrix.2	precisionMatrix.3	precisionMatrix.4	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	rootTrait.0	rootTrait.1	ucedMean	
0	-2457067.2682916857	-2457057.538460568	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	74.8295762971886	-152.17322867937503	37.95041370791738	153.1762616403454	3.6129514399687963	-14.435815631609387	-11.148722494532748	46.616869364974775	-2457057.538460568	-1773044.5374247362	0.25	0.0	0.0	0.25	0.9759240833355949	0.8611632026204187	0.5444773702151089	-11.148722494532748	46.616869364974775	1.0	
20000	-47.06200429082811	-38.12307808289367	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.8247465238876295	7.262423524580396	6.970322120595555	0.2480286883091165	5.760543532587264	7.97708425047699	5.130421111941819	24.023239037796564	-38.12307808289367	-21.818190500251806	1.077563666646377	0.0459871201879998	0.0459871201879998	0.11560124196214061	0.0387094555470135	0.00254322305187164	1.010140529965268	5.130421111941819	24.023239037796564	0.04231984727759027	
40000	-46.67087076564373	-37.91049685272142	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	10.099915448658926	7.285232829124109	3.3050058158932467	4.295472439967142	9.27653143220629	6.704050162653491	8.16598185391397	5.330285375709678	-37.91049685272142	-24.16999473204832	0.4271837902677988	-0.2624437324800021	-0.2624437324800021	1.5212255951339326	0.02341413057046928	1.908387294967313E-4	0.9224466401804987	8.16598185391397	5.330285375709678	0.02137689535944285	
60000	-53.1945404208045	-44.407287004046346	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	8.888896162100508	5.320654888002311	5.614725950160474	-0.47990206348309883	7.920079398752268	9.049609193633763	1.740283341015276	13.561961340460888	-44.407287004046346	-24.346318886521253	0.08091834549357242	0.01864311776553924	0.01864311776553924	0.007227246514642512	0.38668589955593646	0.04889261484411044	1.1983147437726933	1.740283341015276	13.561961340460888	0.2583456784050897	
80000	-37.22341553863109	-28.475855780732303	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.433116693671757	7.472547816141115	4.188098092587691	3.813839616249078	6.0681200549533125	7.272190056991696	4.722234905255225	4.899797428234194	-28.475855780732303	-17.639139511734015	3.109951519109457	-0.028000427881824216	-0.028000427881824216	2.211995262973185	0.02014032660895669	5.001331011182361E-4	1.1828159455162077	4.722234905255225	4.899797428234194	0.02511906175259599	
100000	-44.84737953031329	-36.08000249045797	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.615301785389568	9.116643147849226	6.488548394846154	3.4754817753222698	8.228893628256184	6.165255476968479	4.90237696522884	10.750551977525856	-36.08000249045797	-21.169567091047018	2.1407029324313154	0.374843362019122	0.374843362019122	2.9225872980683567	0.005106565240399083	3.6585735512127974E-6	0.6870380327678844	4.90237696522884	10.750551977525856	0.0020026309231371002	
120000	-43.74435021930455	-34.992898547711555	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.835060072160188	5.969776264836823	4.081458117565997	2.896228396427598	6.171279780041569	7.636115301479466	5.981114384254024	3.2674564197056246	-34.992898547711555	-21.666623429378507	1.3579058513965976	0.2437357921830126	0.2437357921830126	0.15617561523959989	0.07503159535315498	0.0018204456464665781	0.9104952937081656	5.981114384254024	3.2674564197056246	0.039401937980608634	
140000	-43.917551313182464	-35.152499241958054	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.71651359653078	7.548725585196823	4.082960334910753	6.329858805196891	5.697756274431976	6.4620643397804995	-1.9804539812876878	0.5016614202083707	-35.152499241958054	-21.526974574319613	0.8578203957155872	-0.5422801637513754	-0.5422801637513754	1.2440594151026856	0.02438693364043239	3.514984969723729E-4	1.022129369129922	-1.9804539812876878	0.5016614202083707	0.028020856227462337	
160000	-41.473023659728156	-32.71839711092191	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	5.365018588972468	8.607498470734797	2.9136845970188876	4.851391305907837	5.487613734260185	4.557184973455009	7.028229815039117	4.167615492629149	-32.71839711092191	-19.942282354860748	0.30328758045254667	0.3738692396549245	0.3738692396549245	2.3128005701424454	0.06345314174656427	8.885976781853904E-4	1.0643978357838304	7.028229815039117	4.167615492629149	0.03195188666227966	
180000	-39.31075617126902	-30.53458872287712	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.119888962431555	7.733598329704244	5.16122845574659	5.218586362413259	6.179433695061729	5.749957702348708	9.654694640412735	8.252781286930269	-30.53458872287712	-18.328799871051885	0.10399337472527492	-0.05608397713541411	-0.05608397713541411	0.21738422714575462	0.19691579801036788	0.028733306596332272	0.8793762635368734	9.654694640412735	8.252781286930269	0.18129522079490842	
